"id"	"dataset"	"tissue"	"marker"	"manual_anno"	"manual_broadtype"	"old_manual_CLname"	"old_manual_CLID"	"marker_0"	"celltype_0_anno"	"celltype_0_CLID"	"celltype_0_CLname"	"marker_0.2"	"celltype_0.2_anno"	"celltype_0.2_CLID"	"celltype_0.2_CLname"	"marker_0.4"	"celltype_0.4_anno"	"celltype_0.4_CLID"	"celltype_0.4_CLname"	"marker_0.6"	"celltype_0.6_anno"	"celltype_0.6_CLID"	"celltype_0.6_CLname"	"marker_0.8"	"celltype_0.8_anno"	"celltype_0.8_CLID"	"celltype_0.8_CLname"	"celltype_0.2_broadtype"	"celltype_0.2_score"	"celltype_0.4_broadtype"	"celltype_0.4_score"	"celltype_0.6_broadtype"	"celltype_0.6_score"	"celltype_0.8_broadtype"	"celltype_0.8_score"	"celltype_0_broadtype"	"celltype_0_score"
1	"Azimuth"	"PBMC"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B"	"Intermediate B cell"	"B cell"	"transitional stage B cell"	"CL:0000818"	" IGHM, CD79B, TNFRSF13B, RALGPS2, CD79A, BANK1,MS4A1, LINC01857, AIM2, IGHD"	"B cells"	"CL:0000822"	"B-2 B cell"	" BANK1, LINC01857, CD79A, IGHM, AIM2, CD79B, TNFRSF13B, IGHD"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, CD79B, LINC01857, BANK1, IGHM, IGHD"	"B cells"	"CL:0000822"	"B-2 B cell"	" IGHM, TNFRSF13B, BANK1, RALGPS2"	"B cells"	"CL:0000822"	"B-2 B cell"	" IGHM, CD79A"	"B cells"	"CL:0000822"	"B-2 B cell"	"b cell"	1	"b cell"	1	"b cell"	1	"b cell"	1	"b cell"	1
2	"Azimuth"	"PBMC"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781"	"Memory B cell"	"b cell"	"memory B cell"	"CL:0000787"	" LINC01781, SSPN, AIM2, RALGPS2,MS4A1, BANK1, CD79A, TNFRSF13C, TEX9, COCH"	"B cells"	"CL:0000822"	"B-2 B cell"	" RALGPS2, SSPN,MS4A1, AIM2, CD79A, LINC01781, BANK1, TNFRSF13C"	"B cells"	"CL:0000822"	"B-2 B cell"	" COCH, CD79A,MS4A1, TEX9, LINC01781, BANK1"	"B cells"	"CL:0000822"	"B-2 B cell"	" SSPN, RALGPS2, COCH, TEX9"	"unknown"	"CL:0000747"	"cyanophore"	"MS4A1, RALGPS2"	"B cells"	"CL:0000822"	"B-2 B cell"	"b cell"	1	"b cell"	1	"unknown"	0	"b cell"	1	"b cell"	1
3	"Azimuth"	"PBMC"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3"	"Naive B cell"	"B cell"	"naive B cell"	"CL:0000788"	" TCL1A, BTG1, IGHD,IGHM, CXCR4, CD79A, IL4R, YBX3, CD79B, MS4A1"	"Naive B cells"	"CL:0000788"	"naive B cell"	" MS4A1,IGHM, CXCR4, IL4R, YBX3, IGHD, CD79B, CD79A"	"B cells"	"CL:0000822"	"B-2 B cell"	" CD79A, TCL1A, BTG1,IGHM, CXCR4, MS4A1"	"B cells"	"CL:0000822"	"B-2 B cell"	" MS4A1, IGHD, CXCR4, YBX3"	"B cells"	"CL:0000822"	"B-2 B cell"	" TCL1A, IL4R"	"B cells"	"CL:0000822"	"B-2 B cell"	"b cell"	1	"b cell"	1	"b cell"	1	"b cell"	1	"B cell"	1
4	"Azimuth"	"PBMC"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2"	"Plasmablast"	"B cell"	"plasmablast"	"CL:0000980"	" POU2AF1, TXNDC5, DERL3, NT5DC2, MZB1, HRASLS2, TNFRSF17,IGHA2, CPNE5, TNFRSF13B"	"Plasma cells"	"CL:0000786"	"plasma cell"	" HRASLS2, TNFRSF13B, MZB1, NT5DC2, DERL3, POU2AF1, TNFRSF17, CPNE5"	"Plasma cells"	"CL:0000786"	"plasma cell"	" TXNDC5, TNFRSF17, DERL3,IGHA2, NT5DC2, CPNE5"	"Plasma cells"	"CL:0000786"	"plasma cell"	" NT5DC2,IGHA2, CPNE5, TXNDC5"	"Plasma cells"	"CL:0000786"	"plasma cell"	" TNFRSF13B, DERL3"	"Plasma cells"	"CL:0000786"	"plasma cell"	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1
5	"Azimuth"	"PBMC"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7"	"CD4+ Cytotoxic T"	"T/NK cell"	"CD4-positive, alpha-beta cytotoxic T cell"	"CL:0000934"	" GNLY, GZMA, NKG7, IL32, FGFBP2,GZMH, CD4, B2M, CST7, ITGB1"	"NK cells"	"CL:0000825"	"pro-NK cell"	" IL32, B2M, CST7, CD4, GZMA, GNLY, ITGB1, FGFBP2"	"NK cells"	"CL:0000825"	"pro-NK cell"	" CST7, ITGB1, NKG7, B2M,GZMH, GNLY"	"NK cells"	"CL:0000825"	"pro-NK cell"	" B2M, IL32, ITGB1, CD4"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" FGFBP2, CST7"	"NK cells"	"CL:0000825"	"pro-NK cell"	"t/nk cell"	0.5	"t/nk cell"	0.5	"t/nk cell"	1	"t/nk cell"	0.5	"t/nk cell"	0.5
6	"Azimuth"	"PBMC"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1"	"CD4+ Naive T"	"T/NK cell"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"CL:0000895"	" CD4,TCF7, LDHB, CCR7, NOSIP, FHIT, MAL, LEF1, IL7R, PIK3IP1"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	" LEF1, MAL, IL7R, CD4, LDHB,TCF7, PIK3IP1, FHIT"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" CD4,TCF7, FHIT, NOSIP, PIK3IP1, IL7R"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" LEF1, IL7R, NOSIP, PIK3IP1"	"Naive T cells"	"CL:0000898"	"naive T cell"	" LDHB, NOSIP"	"unknown"	"CL:0000747"	"cyanophore"	"t/nk cell"	1	"t/nk cell"	1	"T/NK cell"	1	"unknown"	0	"t/nk cell"	1
7	"Azimuth"	"PBMC"	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2"	"CD4+ Proliferating T"	"t/nk cell"	NA	NA	" CENPF, NUSAP1, PCLAF, TPX2, ASPM,MKI67, TOP2A, RRM2, TYMS, PTTG1"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	" NUSAP1,MKI67, ASPM, PCLAF, TPX2, CENPF, RRM2, TYMS"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	" RRM2, PCLAF, CENPF, ASPM,MKI67, PTTG1"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	" TPX2, TOP2A, PTTG1, CENPF"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	" TYMS, PTTG1"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"proliferating cell"	1	"proliferating cell"	1	"proliferating cell"	1	"proliferating cell"	1	"proliferating cell"	1
8	"Azimuth"	"PBMC"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL"	"CD4+ Central Memory T"	"t/nk cell"	"central memory CD4-positive, alpha-beta T cell"	"CL:0000904"	" ITGB1, LTB, TRAC, AQP3, CD4,IL7R, MAL, TMSB10, IL32, LDHB"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" MAL, ITGB1,IL7R, TMSB10, IL32, AQP3, LTB, CD4"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" ITGB1, MAL, LTB, TMSB10, AQP3, CD4"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" TRAC, TMSB10, AQP3, MAL"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	" ITGB1, TRAC"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1
9	"Azimuth"	"PBMC"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3"	"CD4+ Effector Memory T"	"t/nk cell"	"effector memory CD4-positive, alpha-beta T cell"	"CL:0000905"	" LTB, KLRB1, FYB1, GZMA, GZMK,IL7R, CCL5, AQP3, TRAC, IL32"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	" FYB1, KLRB1, CCL5,IL7R, GZMA, IL32, TRAC, GZMK"	"CD8+ T cells"	"CL:4052032"	"granzyme H-associated CD8 T cell"	" TRAC, LTB, AQP3, KLRB1, CCL5,IL7R"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	" LTB, CCL5, FYB1, AQP3"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	" GZMA, FYB1"	"T cells"	"CL:0002125"	"CD27-negative gamma-delta T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1
10	"Azimuth"	"PBMC"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2"	"Regulatory T"	"t/nk cell"	"regulatory T cell"	"CL:0000815"	" CTLA4, AC133644.2, IKZF2, TIGIT, FOXP3, IL2RA,RTKN2, LAIR2, FCRL3, CD4"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"RTKN2, IKZF2, CD4, TIGIT, IL2RA, FCRL3, AC133644.2, LAIR2"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	" CD4, IKZF2,RTKN2, IL2RA, TIGIT, CTLA4"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	" AC133644.2, TIGIT, IL2RA, CD4"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	" CD4, CTLA4"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1
