"id"	"dataset"	"tissue"	"marker"	"manual_anno"	"manual_broadtype"	"old_manual_CLname"	"old_manual_CLID"	"marker_0"	"celltype_0_anno"	"celltype_0_CLID"	"celltype_0_CLname"	"marker_0.2"	"celltype_0.2_anno"	"celltype_0.2_CLID"	"celltype_0.2_CLname"	"marker_0.4"	"celltype_0.4_anno"	"celltype_0.4_CLID"	"celltype_0.4_CLname"	"marker_0.6"	"celltype_0.6_anno"	"celltype_0.6_CLID"	"celltype_0.6_CLname"	"marker_0.8"	"celltype_0.8_anno"	"celltype_0.8_CLID"	"celltype_0.8_CLname"	"celltype_0_broadtype"	"celltype_0_score"	"celltype_0.2_broadtype"	"celltype_0.2_score"	"celltype_0.4_broadtype"	"celltype_0.4_score"	"celltype_0.6_broadtype"	"celltype_0.6_score"	"celltype_0.8_broadtype"	"celltype_0.8_score"	"marker_1"	"celltype_1_anno"	"celltype_1_CLID"	"celltype_1_CLname"	"celltype_1_broadtype"	"celltype_1_score"
1	"Azimuth"	"PBMC"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B"	"Intermediate B cell"	"B cell"	"transitional stage B cell"	"CL:0000818"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B,RPL21P108,ENSG00000287267"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B,ENSG00000259690,ENSG00000296120,MGAT3,DBET"	"Naive B cells"	"CL:0000788"	"naive B cell"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B,NIBAN1,SPMAP2L,ENSG00000302231,RNA5SP67,ENSG00000289021,ENSG00000286401"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B,U6,LINC02920,ENSG00000285190,ENSG00000277670,CLYBL-AS1,MIR3682,ENSG00000274064,ENSG00000304220"	"Naive B cells"	"CL:0000788"	"naive B cell"	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"MS4A1, TNFRSF13B, IGHM, IGHD, AIM2, CD79A, LINC01857, RALGPS2, BANK1, CD79B,NEXN-AS1,AMIGO3,ENSG00000273118,ENSG00000290914,CNTNAP3P5,ENSG00000288697,SLC2A13,ENSG00000249593,ENSG00000289543,PRPS2"	"B cells"	"CL:0000822"	"B-2 B cell"	"B cell"	1
2	"Azimuth"	"PBMC"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781"	"Memory B cell"	"B cell"	"memory B cell"	"CL:0000787"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781,RN7SL440P,ENSG00000228897"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781,ENSG00000293213,RBPJL,ENSG00000277499,ENSG00000293280"	"Memory B cells"	"CL:0000787"	"memory B cell"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781,CBX7,RAET1K,RBM33-DT,TRAF5,MIR4486,ENSG00000273240"	"B cells"	"CL:0000822"	"B-2 B cell"	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781,TDRD5,Y_RNA,CES3,ENSG00000301724,SEPHS1P6,GRM3-AS1,ENSG00000307778,ERRFI1"	"Memory B cells"	"CL:0000787"	"memory B cell"	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"MS4A1, COCH, AIM2, BANK1, SSPN, CD79A, TEX9, RALGPS2, TNFRSF13C, LINC01781,ZFX,ENSG00000294400,ENSG00000301937,MIR1304,ENSG00000262410,MTSS1,RNU4-44P,ENSG00000307237,OCM2,ENSG00000266765"	"Memory B cells"	"CL:0000787"	"memory B cell"	"B cell"	1
3	"Azimuth"	"PBMC"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3"	"Naive B cell"	"B cell"	"naive B cell"	"CL:0000788"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3"	"Naive B cells"	"CL:0000788"	"naive B cell"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3,ENSG00000288790,ALOX12P1"	"B cells"	"CL:0000822"	"B-2 B cell"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3,ENSG00000287902,LINC01696,ENSG00000305017,LINC02682"	"Naive B cells"	"CL:0000788"	"naive B cell"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3,ENSG00000298682,RPSAP55,HCG15,DENND5B-AS1,ENSG00000228748,ENSG00000250422"	"Naive B cells"	"CL:0000788"	"naive B cell"	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3,ZG16B,ENSG00000253275,VSIG10L,ENSG00000229212,ENSG00000266968,IDH3G,AUNIP,ENSG00000293554"	"Naive B cells"	"CL:0000788"	"naive B cell"	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"IGHM, IGHD, CD79A, IL4R, MS4A1, CXCR4, BTG1, TCL1A, CD79B, YBX3,ENSG00000228667,LINC00159,ZNF849P,RNA5SP504,RPL31P17,ENSG00000260522,GAS6-DT,ENSG00000272748,ENSG00000201410,ENSG00000310113"	"Naive B cells"	"CL:0000788"	"naive B cell"	"B cell"	1
4	"Azimuth"	"PBMC"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2"	"Plasmablast"	"B cell"	"plasmablast"	"CL:0000980"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2"	"Plasma cells"	"CL:0000786"	"plasma cell"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2,ENSG00000295883,RN7SL282P"	"Plasma cells"	"CL:0000786"	"plasma cell"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2,THAP12P7,LINC02102,ENSG00000259463,ENSG00000289844"	"Plasma cells"	"CL:0000786"	"plasma cell"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2,ENSG00000224643,RNA5SP334,ENSG00000257643,ENSG00000274624,ENSG00000248317,AIFM2"	"Plasma cells"	"CL:0000786"	"plasma cell"	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2,RN7SL16P,DNAJB6P2,ENSG00000249593,DINOL,CDY22P,ENSG00000277704,ENSG00000307460,ENTPD4-DT"	"Plasma cells"	"CL:0000786"	"plasma cell"	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"B cell"	1	"IGHA2, MZB1, TNFRSF17, DERL3, TXNDC5, TNFRSF13B, POU2AF1, CPNE5, HRASLS2, NT5DC2,RPL17P24,CCDC15-DT,ENSG00000279459,PRDX4P1,ENSG00000305123,ITGAV,RNA5SP243,GABRA1,ENSG00000231863,ERI3-IT1"	"Plasma cells"	"CL:0000786"	"plasma cell"	"B cell"	1
5	"Azimuth"	"PBMC"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7"	"CD4+ Cytotoxic T"	"T/NK cell"	"CD4-positive, alpha-beta cytotoxic T cell"	"CL:0000934"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7"	"NK cells"	"CL:0000825"	"pro-NK cell"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7,TMEM45B,ENSG00000221849"	"NK cells"	"CL:0000825"	"pro-NK cell"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7,UBA52P6,C20orf96,ENSG00000307856,ENSG00000307154"	"NK cells"	"CL:0000825"	"pro-NK cell"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7,ENSG00000280047,ZNF768,UQCC2,ENSG00000255286,TMED7-TICAM2,ENSG00000300903"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7,ENSG00000308129,ENSG00000274693,RPL30P16,SLEAR,RPL7L1P17,C20orf144,Y_RNA,ENSG00000307001"	"CD4+ Cytotoxic T cells"	"CL:0000934"	"CD4-positive, alpha-beta cytotoxic T cell"	"t/nk cell"	0.5	"t/nk cell"	0.5	"t/nk cell"	0.5	"t/nk cell"	1	NA	1	"GZMH, CD4, FGFBP2, ITGB1, GZMA, CST7, GNLY, B2M, IL32, NKG7,OTUD1,ENSG00000253911,ENSG00000250997,ENSG00000231394,ENSG00000296707,ENSG00000276470,PHF5AP3,LINC00377,ENSG00000299898,ENSG00000300547"	"CD4+ cytotoxic T cells"	"CL:0000934"	"CD4-positive, alpha-beta cytotoxic T cell"	NA	1
6	"Azimuth"	"PBMC"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1"	"CD4+ Naive T"	"T/NK cell"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"CL:0000895"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1,RNA5SP405,ENSG00000297523"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1,MZT2B,SNRPEP9,ENSG00000304667,Y_RNA"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1,ENSG00000305492,DRAXINP1,GYG1P2,ENSG00000286701,ENSG00000251200,ENSG00000303537"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1,RNU6-438P,RCC2P7,RN7SL356P,EEF1A1P16,OTOGL,TCF25,RPL17P36,ENSG00000289129"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"TCF7, CD4, CCR7, IL7R, FHIT, LEF1, MAL, NOSIP, LDHB, PIK3IP1,ENSG00000294725,ENSG00000236168,UBA52P5,ENSG00000309592,CLVS2,ENSG00000307275,ENSG00000310282,COMMD2,GALR2,ENSG00000260575"	"Naive CD4+ T cells"	"CL:0000898"	"naive T cell"	"t/nk cell"	1
7	"Azimuth"	"PBMC"	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2"	"CD4+ Proliferating T"	"T/NK cell"	NA	NA	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2,ENSG00000302092,ROPN1"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2,RPL29P12,RARRES1,GLCCI1-DT,ENSG00000303478"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2,OR8B6P,RPL17P49,ENSG00000274712,MIR320D1,ENSG00000262700,LINC02511"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2,ENSG00000287406,RASGEF1B,SPINK14,ENSG00000279080,RNU2-64P,KLC4-AS1,ENSG00000248870,C10orf67-AS1"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"proliferating cell"	1	"proliferating cell"	1	"proliferating cell"	1	"proliferating cell"	1	"proliferating cell"	1	"MKI67, TOP2A, PCLAF, CENPF, TYMS, NUSAP1, ASPM, PTTG1, TPX2, RRM2,ENSG00000304744,FSD1,GAPDHP72,ENSG00000278995,ENSG00000242828,LINC01160,COL4A3,ENSG00000306533,ENSG00000265217,ENSG00000289026"	"Proliferating cells"	"CL:4033073"	"cycling monocyte"	"proliferating cell"	1
8	"Azimuth"	"PBMC"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL"	"CD4+ Central Memory T"	"T/NK cell"	"central memory CD4-positive, alpha-beta T cell"	"CL:0000904"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL,ENSG00000219757,ENSG00000306952"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL,RNU6-405P,RNU6-381P,ENSG00000310450,ENSG00000279265"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL,OR11K1P,ENSG00000256273,SUV39H2,ENSG00000309938,FRAS1,ENSG00000305740"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL,AMD1P2,ENSG00000262213,ENSG00000305484,7SK,ENSG00000291283,ENSG00000295358,IGKV2OR2-2,ENSG00000289106"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"IL7R, TMSB10, CD4, ITGB1, LTB, TRAC, AQP3, LDHB, IL32, MAL,ENSG00000250037,ENSG00000290921,MIR3942,ENSG00000309832,STXBP6,C1orf74,NRSN2,ENSG00000302544,ENSG00000293581,RN7SL4P"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"t/nk cell"	1
9	"Azimuth"	"PBMC"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3"	"CD4+ Effector Memory T"	"T/NK cell"	"effector memory CD4-positive, alpha-beta T cell"	"CL:0000905"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3,GTF2IRD2,ENSG00000259231"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3,APOF,RTP3,ENSG00000228530,RNU6-30P"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3,OR51A3P,SPARC,CCDC148,RN7SKP168,GLRX2,RPSAP18"	"CD4+ T cells"	"CL:0000492"	"CD4-positive helper T cell"	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3,LRCOL1,ENSG00000302495,MIR7154,FTH1P26,ENSG00000287258,TTLL4,LINC02211,ENSG00000285228"	"CD4+ Cytotoxic T cells"	"CL:0000934"	"CD4-positive, alpha-beta cytotoxic T cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	NA	1	"IL7R, CCL5, FYB1, GZMK, IL32, GZMA, KLRB1, TRAC, LTB, AQP3,MIR3972,NEK2P1,ENSG00000293782,RNU6-576P,ENSG00000306698,ENSG00000272043,ENSG00000288997,ENSG00000303530,ENSG00000289023,LINC01116"	"CD4+ memory T cells"	"CL:0000897"	"CD4-positive, alpha-beta memory T cell"	NA	1
10	"Azimuth"	"PBMC"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2"	"Regulatory T"	"T/NK cell"	"regulatory T cell"	"CL:0000815"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2,PIRAT1,ZNF621"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2,APOLD1,NFE4,TRNAU1AP,ENSG00000306146"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2,MIR548V,HERC2P9,ENSG00000308079,Metazoa_SRP,IGHVIII-25-1,ENSG00000234120"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2,Y_RNA,ENSG00000308653,ZSCAN30,DSG1,ENSG00000285629,ENSG00000270646,MSL3P3,ENSG00000255516"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"t/nk cell"	1	"RTKN2, FOXP3, AC133644.2, CD4, IL2RA, TIGIT, CTLA4, FCRL3, LAIR2, IKZF2,ENSG00000308222,MRM3P2,ENSG00000287099,ENSG00000295311,ENC1,RNU6-944P,BACH2,ENSG00000242545,LRRC8D,ANKRD49"	"Regulatory T cells"	"CL:0011024"	"double negative T regulatory cell"	"t/nk cell"	1
