"index"	"Agreement"	"score"	"model"	"total"
71	"Mismatch"	0	"manual"	1
71	"Partially match"	0	"manual"	1
71	"Fully match"	1130	"manual"	1
70	"Mismatch"	218	"Claude 3.5 Sonnet (06/20)"	0.807079646017699
70	"Partially match"	116	"Claude 3.5 Sonnet (06/20)"	0.807079646017699
70	"Fully match"	796	"Claude 3.5 Sonnet (06/20)"	0.807079646017699
69	"Mismatch"	223	"o4.mini"	0.802654867256637
69	"Partially match"	107	"o4.mini"	0.802654867256637
69	"Fully match"	800	"o4.mini"	0.802654867256637
68	"Mismatch"	235	"gemini-2.5-flash-p 04.17 nothink"	0.792035398230089
68	"Partially match"	121	"gemini-2.5-flash-p 04.17 nothink"	0.792035398230089
68	"Fully match"	774	"gemini-2.5-flash-p 04.17 nothink"	0.792035398230089
67	"Mismatch"	236	"o3.mini"	0.791150442477876
67	"Partially match"	112	"o3.mini"	0.791150442477876
67	"Fully match"	782	"o3.mini"	0.791150442477876
66	"Mismatch"	236	"GPT-4.1"	0.791150442477876
66	"Partially match"	104	"GPT-4.1"	0.791150442477876
66	"Fully match"	790	"GPT-4.1"	0.791150442477876
65	"Mismatch"	245	"gemini-2.5-flash-p 04.17"	0.783185840707965
65	"Partially match"	132	"gemini-2.5-flash-p 04.17"	0.783185840707965
65	"Fully match"	753	"gemini-2.5-flash-p 04.17"	0.783185840707965
64	"Mismatch"	257	"grok.3.mini.fast.beta"	0.772566371681416
64	"Partially match"	115	"grok.3.mini.fast.beta"	0.772566371681416
64	"Fully match"	758	"grok.3.mini.fast.beta"	0.772566371681416
63	"Mismatch"	257	"GPT-4o (11/20)"	0.772566371681416
63	"Partially match"	112	"GPT-4o (11/20)"	0.772566371681416
63	"Fully match"	761	"GPT-4o (11/20)"	0.772566371681416
62	"Mismatch"	258	"grok.3.mini.beta"	0.771681415929204
62	"Partially match"	110	"grok.3.mini.beta"	0.771681415929204
62	"Fully match"	762	"grok.3.mini.beta"	0.771681415929204
61	"Mismatch"	261	"grok.3.beta"	0.769026548672566
61	"Partially match"	130	"grok.3.beta"	0.769026548672566
61	"Fully match"	739	"grok.3.beta"	0.769026548672566
60	"Mismatch"	265	"GPT-4"	0.765486725663717
60	"Partially match"	153	"GPT-4"	0.765486725663717
60	"Fully match"	712	"GPT-4"	0.765486725663717
59	"Mismatch"	267	"GPT-4 0613"	0.763716814159292
59	"Partially match"	162	"GPT-4 0613"	0.763716814159292
59	"Fully match"	701	"GPT-4 0613"	0.763716814159292
58	"Mismatch"	271	"Gemini 2.0 Flash Thinking"	0.760176991150442
58	"Partially match"	145	"Gemini 2.0 Flash Thinking"	0.760176991150442
58	"Fully match"	714	"Gemini 2.0 Flash Thinking"	0.760176991150442
57	"Mismatch"	280	"GPT-4o"	0.752212389380531
57	"Partially match"	102	"GPT-4o"	0.752212389380531
57	"Fully match"	748	"GPT-4o"	0.752212389380531
56	"Mismatch"	287	"GPT-4.1 Mini"	0.746017699115044
56	"Partially match"	116	"GPT-4.1 Mini"	0.746017699115044
56	"Fully match"	727	"GPT-4.1 Mini"	0.746017699115044
55	"Mismatch"	293	"Qwen Max 0125"	0.74070796460177
55	"Partially match"	139	"Qwen Max 0125"	0.74070796460177
55	"Fully match"	698	"Qwen Max 0125"	0.74070796460177
54	"Mismatch"	299	"Llama 4 Maverick 17B 128E FP8"	0.735398230088496
