"original_name"	"broad_type"
"b cell"	"B cell"
"plasma cell"	"B cell"
"nk cell"	"t/nk cell"
"naive cd4 t cell"	"t/nk cell"
"proliferating cell"	"proliferating cell"
"memory cd4 t cell"	"t/nk cell"
"effector memory cd4 t cell"	"t/nk cell"
"regulatory t cell"	"t/nk cell"
"naive cd8 t cell"	"t/nk cell"
"proliferating cd8 t cell"	"t/nk cell"
"memory cd8 t cell"	"t/nk cell"
"cytotoxic cd8 t cell"	"t/nk cell"
"plasmacytoid dendritic cell"	"dendritic cell"
"conventional dendritic cell"	"dendritic cell"
"monocyte-derived dendritic cell"	"dendritic cell"
"macrophage"	"macrophage"
"monocyte"	"monocyte"
"natural killer t cell"	"t/nk cell"
"proliferating t cell"	"proliferating cell"
"natural killer cell"	"t/nk cell"
"erythrocyte"	"erythrocyte → blood cell"
"hematopoietic stem cell"	"hematopoietic stem cell → stem cell"
"mast cell"	"mast cell → immune cell"
"platelet"	"platelet → blood cell"
"cd8+ t cell"	"cd8+ t cell → t/nk cell"
"gamma delta t cell"	"gamma delta t cell → t/nk cell"
"astrocyte"	"astrocyte → glial cell"
"endothelial cell"	"endothelial cell → endothelial cell"
"upper layer excitatory neuron"	"upper layer excitatory neuron → neuron"
"unknown"	"unknown → unknown"
"deep layer excitatory neuron"	"deep layer excitatory neuron → neuron"
"interneuron"	"interneuron → neuron"
"microglia"	"microglia → immune cell"
"oligodendrocyte"	"oligodendrocyte → glial cell"
"oligodendrocyte precursor cell"	"oligodendrocyte precursor cell → glial cell"
"fibroblast"	"fibroblast → connective tissue cell"
"pericyte"	"pericyte → connective tissue cell"
"endothelial cell"	"endothelial cell → endothelial cell"
"neural crest-derived cell"	"neural crest-derived cell → neural crest cell"
"fibroblast"	"fibroblast → connective tissue cell"
"hepatocyte-like cell"	"epithelial cell"
"pancreatic polypeptide (pp) cell"	"endocrine cell"
"somatostatin (sst) cell"	"endocrine cell"
"ductal cell"	"epithelial cell"
"acinar cell"	"exocrine cell"
"beta cell"	"endocrine cell"
"alpha cell"	"endocrine cell"
"megakaryocyte"	"hematopoietic cell"
"neuron"	"neural cell"
"steroidogenic cell"	"endocrine cell"
"lymphatic endothelial cell"	"endothelial cell"
"alveolar type ii cell"	"epithelial cell"
"muscle cell"	"muscle cell"
"astrocyte"	"glial cell"
"neuroendocrine cell"	"endocrine cell"
"renal epithelial cell"	"epithelial cell"
"mesenchymal cell"	"mesenchymal cell"
"erythroid cell"	"hematopoietic cell"
"schwann cell"	"glial cell"
"t cell"	"t/nk cell"
"hepatocyte"	"epithelial cell"
"pancreatic endocrine cell"	"endocrine cell"
"pancreatic acinar cell"	"exocrine cell"
"kidney progenitor cell"	"progenitor cell"
"fetal pancreatic cell"	"progenitor cell"
"retinal pigment epithelium cell"	"epithelial cell"
"cardiomyocyte"	"muscle cell"
"epithelial cell"	"epithelial cell"
"gastric mucous cell"	"epithelial cell"
"trophoblast cell"	"placental cell"
"peripheral neuron"	"neuron"
"enteric neuron"	"neuron"
"ciliated cell"	"epithelial cell"
"synovial fibroblast"	"connective tissue cell"
"parietal cell"	"epithelial cell"
"neural progenitor cell"	"progenitor cell"
"enteroendocrine cell"	"endocrine cell"
"mucosal barrier cell"	"epithelial cell"
"hematopoietic precursor cell"	"progenitor cell"
"lens fiber cell"	"epithelial cell"
"placental trophoblast"	"epithelial cell"
"thymic epithelial cell"	"epithelial cell"
"dendritic cell"	"myeloid cell"
"alveolar epithelial type ii cell"	"epithelial cell"
"b cell"	"B cell"
"basal cell"	"epithelial cell"
"t cell"	"t/nk cell"
"ciliated cell"	"epithelial cell"
"lymphatic endothelial cell"	"endothelial cell"
"plasma cell"	"B cell"
"endothelial cell"	"endothelial cell"
"cytotoxic t cell"	"t/nk cell"
"club cell"	"epithelial cell"
"plasmacytoid dendritic cell"	"myeloid cell"
"club cell"	"epithelial cell"
"smooth muscle cell"	"muscle cell"
"mesothelial cell"	"epithelial cell"
"platelet"	"blood cell"
"natural killer cell"	"t/nk cell"
"ionocyte"	"epithelial cell"
"neuroendocrine cell"	"neuroendocrine cell"
"salivary gland cell"	"epithelial cell"
"renal tubular epithelial cell"	"epithelial cell"
"collecting duct principal cell"	"epithelial cell"
"loop of henle epithelial cell"	"epithelial cell"
"distal convoluted tubule cell"	"epithelial cell"
"immune cell"	"immune cell"
"interstitium cell"	"stromal cell"
"urothelial cell"	"epithelial cell"
"podocyte"	"epithelial cell"
"proximal tubule cell"	"epithelial cell"
"neuronal-like cell"	"neuronal cell"
"thick ascending limb cell"	"epithelial cell"
"vascular smooth muscle cell"	"muscle cell"
"mast cell"	"immune cell"
"cytotoxic t cell"	"t/nk cell"
"natural killer cell"	"t/nk cell"
"dendritic cell"	"immune cell"
"hematopoietic stem cell"	"stem cell"
"erythroblast"	"erythroid cell"
"neutrophil"	"myeloid cell"
"natural killer cell"	"t/nk cell"
"cytotoxic t/nk cell"	"t/nk cell"
"pre-b cell"	"B cell"
"proliferating lymphocyte"	"lymphoid cell"
"macrophage"	"myeloid cell"
"alveolar type i cell"	"epithelial cell"
"club cell"	"epithelial cell"
"goblet cell"	"epithelial cell"
"myofibroblast"	"stromal cell"
"smooth muscle cell"	"stromal cell"
"t follicular helper cell"	"t/nk cell"
"proliferating cell"	"proliferating cell"
"epithelial cell"	"epithelial cell"
"pre-b cell"	"B cell"
"adipocyte"	"stromal cell"
"stromal cell"	"stromal cell"
"cardiomyocyte"	"stromal cell"
"cholangiocyte"	"epithelial cell"
"nkt cell"	"t/nk cell"
"kupffer cell"	"immune cell"
"liver sinusoidal endothelial cell"	"endothelial cell"
"adrenal cortex cell"	"endocrine cell"
"mesenchymal stem cell"	"stem cell"
"oligodendrocyte"	"glial cell"
"thyroid follicular cell"	"epithelial cell"
"enterocyte"	"epithelial cell"
"ribosomal cell"	"other"
"chondrocyte"	"connective tissue cell"
"gastric chief cell"	"epithelial cell"
"pancreatic ductal cell"	"epithelial cell"
"ribosomal protein expressing cell"	"other"
"pancreatic progenitor cell"	"stem cell"
"prostate epithelial cell"	"epithelial cell"
"liver stellate cell"	"connective tissue cell"
"t-cell"	"t/nk cell"
"osteoclast"	"connective tissue cell"
"neuron"	"neuron"
"embryonic stem cell"	"stem cell"
"spermatid"	"germ cell"
"germ cell"	"germ cell"
"pancreatic acinar cell"	"epithelial cell"
"chondrocyte"	"connective tissue cell"
"neutrophil"	"myeloid cell"
"erythroid progenitor cell"	"erythroid cell"
"gastric mucous cell"	"epithelial cell"
"lactating mammary epithelial cell"	"epithelial cell"
"radial glial cell"	"neural cell"
"spermatocyte"	"germ cell"
"intestinal epithelial cell"	"epithelial cell"
"kidney tubular cell"	"epithelial cell"
"granulosa cell"	"connective tissue cell"
"reproductive tissue cell"	"reproductive tissue cell"
"osteoblast"	"connective tissue cell"
"leydig cell"	"reproductive tissue cell"
"kidney tubular cell"	"epithelial cell"
"microglial cell"	"myeloid cell"
"gastric chief cell"	"epithelial cell"
"steroidogenic cell"	"connective tissue cell"
"pancreatic endocrine cell"	"epithelial cell"
"mast cell"	"immune cell"
"trophoblast giant cell"	"trophoblast"
"clara cell"	"epithelial cell"
"intercalated cell"	"epithelial cell"
"choroid plexus epithelial cell"	"epithelial cell"
"hepatocyte"	"parenchymal cell"
"neuronal cell"	"neuronal cell"
"myoepithelial cell"	"epithelial cell"
"luminal epithelial cell"	"epithelial cell"
"squamous epithelial cell"	"epithelial cell"
"basal epithelial cell"	"epithelial cell"
"type ii pneumocyte"	"epithelial cell"
"basal cell"	"epithelial cell"
"basal epithelial cell"	"epithelial cell"
"luminal secretory cell"	"epithelial cell"
"stromal fibroblast"	"stromal cell"
"myocyte"	"muscle cell"
"satellite cell"	"muscle cell"
"keratinocyte"	"epithelial cell"
"merkel cell"	"epithelial cell"
"epidermal differentiating keratinocyte"	"epithelial cell"
"epidermal progenitor keratinocyte"	"epithelial cell"
"langerhans cell"	"immune cell"
"melanocyte"	"melanocyte"
"sweat gland cell"	"epithelial cell"
"sebaceous gland cell"	"epithelial cell"
"vascular endothelial cell"	"endothelial cell"
"interstitial cell of cajal"	"interstitial cell"
"squamous epithelial cell"	"epithelial cell"
"muscle precursor cell"	"muscle cell"
"skeletal muscle fiber"	"muscle cell"
"basal keratinocyte"	"epithelial cell"
"differentiated keratinocyte"	"epithelial cell"
"blood endothelial cell"	"endothelial cell"
"cd8+ t cell"	"t/nk cell"
"corneal epithelial cell"	"epithelial cell"
"myeloid cell"	"myeloid cell"
"rod photoreceptor"	"neuronal cell"
"muller glial cell"	"glial cell"
"keratocyte"	"stromal cell"
"limbal epithelial progenitor cell"	"epithelial cell"
"lacrimal gland acinar cell"	"epithelial cell"
"retinal pigment epithelial cell"	"epithelial cell"
"ciliary body non-pigmented epithelial cell"	"epithelial cell"
"amacrine cell"	"neuronal cell"
"retinal progenitor cell"	"stem cell"
"epithelial cell"	"epithelial cell"
"tuft cell"	"epithelial cell"
"stem cell"	"stem cell"
"natural killer t cell"	"t/nk cell"
