model	accuracy	spend
claude.3.5.sonnet.20240620	0.810234542	0.464026884
gemini.2.5.pro.exp.03.25	0.810180276	0.867347654
o3.mini	0.801821103	1.249529706
gemini.2.0.flash.thinking.exp.01.21	0.801331853	0.007933506
claude.3.7.sonnet.20250219	0.799573561	0.468655832
grok.3.mini.fast.beta	0.797728502	0.078200978
grok.3.mini.beta	0.796116505	0.023205851
grok.3.beta	0.791417708	0.340084568
o4.mini	0.790195045	1.018005062
gemini.2.5.flash.preview.04.17.nothink	0.786283892	0.016521261
DeepSeek.R1	0.781954887	0.354905249
gpt.4.1	0.77988415	0.21184562
gemini.2.5.flash.preview.04.17	0.779451318	0.649061541
DeepSeek.V3	0.771025502	0.033224256
gpt.4	0.770992366	2.434197297
gpt.4.0613	0.764898852	2.429292806
gpt.4.1.mini	0.749199573	0.04264907
gpt.4o.2024.11.20	0.746981627	0.259886592
aihubmix.Llama.3.1.405B.Instruct	0.740076128	1.589055
gpt.4o	0.733403032	0.258754459
chutesai.Llama.4.Maverick.17B.128E.Instruct.FP8	0.73298153	0.017299101
Doubao.1.5.pro.32k	0.717811159	0.012819132
qwen.max.0125	0.713981925	0.041975898
chutesai.Llama.4.Scout.17B.16E.Instruct	0.706924316	0.014602084
claude.3.haiku.20240307	0.703940362	0.038649783
gpt.4.1106.preview	0.702014846	0.921368357
gpt.4.0125.preview	0.690246517	0.903237658
Qwen.Qwen2.5.72B.Instruct	0.689989236	0.06071999
gpt.4.turbo	0.674692349	0.934552432
aihubmix.Mistral.Large.2411	0.668796592	0.201430264
gemini.2.0.flash.lite.preview.02.05	0.663461538	0.007792864
deepseek.ai.DeepSeek.R1.Distill.Qwen.32B	0.643760308	0.042533148
Doubao.pro.256k	0.634133333	0.069470523
deepseek.r1.distill.llama.70b	0.630736393	0.235314611
aihubmix.Llama.3.3.70B.Instruct	0.627729258	0.2415816
aihubmix.Llama.3.1.70B.Instruct	0.622702703	0.18342558
llama.3.2.90b.vision.preview	0.612938005	0.3420144
gpt.3.5.turbo.1106	0.612729234	0.082167329
gpt.3.5.turbo.0613	0.603875135	0.220531428
gpt.4o.mini	0.600645856	0.015909048
Doubao.1.5.pro.256k	0.595822454	0.068853921
llama3.70b.8192	0.59027027	0.052834842
qwen2.5.14b.instruct	0.58718088	0.035975366
gpt.3.5.turbo.0125	0.58583691	0.045601405
gpt.3.5.turbo	0.569984034	0.045611438
deepseek.ai.DeepSeek.R1.Distill.Qwen.14B	0.56284153	0.02094235
Doubao.pro.32k	0.558715113	0.013158942
aihub.Phi.4	0.53989071	0.0130767
Qwen.Qwen2.5.32B.Instruct	0.526766595	0.045930362
Doubao.1.5.lite.32k	0.523249599	0.00483575
Doubao.pro.4k	0.490134995	0.012301895
chutesai.Mistral.Small.3.1.24B.Instruct.2503	0.46889702	0.020872546
kimi.latest	0.453874539	0.300718187
Doubao.lite.32k	0.450027012	0.005103386
Doubao.lite.128k	0.439871726	0.011848774
qwen2.5.7b.instruct	0.423118866	0.035706909
qwen.qwq.32b	0.41556379	0.330783151
llama.3.2.11b.vision.preview	0.407327586	0.0285012
Doubao.lite.4k	0.382113821	0.006111068
llama3.8b.8192	0.377611141	0.005943321
gpt.4.1.nano	0.240532242	0.215559261
qwen2.5.3b.instruct	0.230446194	0.041682894
llama.3.2.3b.preview	0.197485595	0.0285012
codestral.latest	0.177493606	0.03522823
deepseek.ai.DeepSeek.R1.Distill.Qwen.7B	0.169262721	0.002310707
